Date,Close/Last,Volume,Open,High,Low,Day 
07/23/2020,$98.30,4530464,$98.35,$100.18,$97.72,388
06/16/2020,$99.04,6056391,$101.25,$101.34,$97.72,389
08/25/2023,$98.84,7290611,$98.50,$99.09,$97.81,390
10/27/2023,$97.98,9602699,$99.78,$100.34,$97.81,391
08/03/2020,$98.33,5474074,$98.03,$99.29,$97.82,392
09/22/2022,$98.55,9638827,$99.79,$100.21,$97.83,393
06/18/2020,$98.45,4392371,$98.69,$99.42,$97.85,394
06/01/2020,$99.54,4299739,$98.40,$99.78,$97.89,395
07/22/2020,$98.91,4097303,$98.16,$98.99,$97.91,396
03/05/2024,$98.31,8670642,$99.00,$99.17,$98.00,397
10/11/2023,$98.65,7642891,$98.31,$98.95,$98.01,398
03/08/2024,$99.16,9043458,$98.49,$99.32,$98.02,399
07/02/2020,$98.43,5355296,$98.78,$99.66,$98.02,400
06/24/2020,$100.08,8611585,$100.94,$101.85,$98.09,401
05/28/2020,$98.46,7262328,$100.09,$100.69,$98.25,402
03/19/2024,$99.96,6168856,$98.50,$100.04,$98.44,403
10/12/2023,$99.25,10705170,$99.54,$100.05,$98.52,404
03/18/2024,$98.74,7206957,$98.98,$99.66,$98.52,405
06/25/2020,$101.40,11531400,$99.23,$101.68,$98.80,406
06/02/2020,$100.74,10798730,$99.42,$100.88,$98.82,407
08/28/2023,$99.63,6006590,$99.59,$100.06,$98.87,408
06/17/2020,$99.21,3405545,$99.00,$100.24,$98.89,409
10/30/2023,$101.80,8206720,$99.00,$102.05,$99.00,410
03/04/2024,$99.54,11050910,$101.65,$101.77,$99.01,411
09/06/2023,$100.18,6096014,$99.76,$100.31,$99.03,412
03/20/2024,$100.27,7771693,$99.45,$100.44,$99.03,413
07/06/2020,$99.95,4995015,$99.62,$100.03,$99.04,414
02/05/2024,$99.68,10097940,$100.50,$100.59,$99.05,415
02/06/2024,$102.61,11372410,$99.50,$102.63,$99.13,416
03/15/2024,$99.64,15208540,$100.30,$101.16,$99.34,417
02/02/2024,$100.71,8966927,$100.88,$101.41,$99.43,418
03/11/2024,$101.08,8537402,$99.90,$101.76,$99.44,419
10/13/2023,$99.91,8784716,$99.59,$100.85,$99.45,420
07/01/2022,$101.18,7934313,$101.64,$102.50,$99.53,421
10/16/2023,$102.04,10845420,$99.72,$102.58,$99.60,422
03/12/2024,$100.18,7040889,$100.79,$101.37,$99.65,423
01/19/2024,$101.78,8517208,$101.02,$102.18,$99.67,424
08/29/2023,$101.77,8641614,$100.03,$102.16,$99.72,425
03/21/2024,$100.82,17176010,$100.44,$101.92,$99.76,426
09/21/2022,$99.79,6279318,$102.67,$103.63,$99.77,427
08/07/2020,$101.86,5545605,$101.00,$101.91,$99.89,428
10/26/2023,$100.02,11222560,$102.18,$102.63,$99.95,429
11/01/2023,$100.88,7272370,$102.55,$102.67,$99.97,430
08/06/2020,$100.45,4061160,$100.64,$101.18,$100.03,431
01/18/2024,$100.94,8852439,$101.00,$101.43,$100.07,432
01/25/2024,$100.77,10063750,$101.53,$101.74,$100.09,433
01/22/2024,$100.56,9897443,$101.75,$101.81,$100.09,434
03/14/2024,$100.26,8350939,$102.20,$102.49,$100.09,435
07/05/2022,$104.32,9951963,$100.45,$104.38,$100.11,436
11/11/2022,$106.09,12597480,$100.31,$107.21,$100.14,437
09/05/2023,$100.32,6698665,$101.50,$101.96,$100.23,438
01/17/2024,$100.82,8226243,$101.05,$101.31,$100.24,439
03/13/2024,$101.36,7326384,$100.61,$102.00,$100.33,440
06/04/2020,$101.28,8775038,$103.66,$103.90,$100.47,441
02/01/2024,$101.76,7666694,$101.90,$102.25,$100.61,442
01/24/2024,$100.76,7879315,$101.78,$101.80,$100.69,443
06/23/2020,$101.92,6498975,$101.15,$102.22,$100.71,444
08/22/2023,$101.46,9820097,$100.96,$102.37,$100.73,445
06/30/2022,$102.20,9027352,$101.94,$103.38,$100.78,446
01/31/2024,$101.53,11547640,$104.09,$104.30,$101.12,447
06/03/2020,$104.11,5867680,$101.26,$104.55,$101.12,448
01/26/2024,$102.75,9735779,$101.57,$103.27,$101.22,449
01/23/2024,$101.90,8208026,$101.63,$102.14,$101.23,450
01/29/2024,$103.88,8860834,$102.88,$104.01,$101.34,451
01/16/2024,$101.72,10547900,$103.94,$104.22,$101.36,452
10/31/2023,$102.77,6558458,$101.40,$102.93,$101.40,453
08/30/2023,$102.10,4822098,$101.64,$102.81,$101.51,454
09/01/2023,$102.36,6359599,$101.97,$102.96,$101.52,455
06/29/2022,$103.25,10326650,$102.99,$105.61,$101.53,456
07/13/2022,$105.11,5299449,$101.94,$105.88,$101.56,457
08/31/2023,$101.71,7046219,$102.62,$102.89,$101.61,458
02/16/2024,$103.51,14590130,$104.63,$104.70,$101.65,459
12/20/2022,$103.21,17147930,$103.00,$103.40,$101.68,460
09/20/2022,$102.42,10006640,$103.82,$104.44,$101.71,461
06/10/2020,$102.12,5194156,$103.00,$103.15,$101.71,462
01/08/2024,$103.62,9414218,$102.08,$103.69,$101.73,463
10/23/2023,$102.81,5966147,$102.13,$103.76,$101.77,464
03/01/2024,$101.88,7349270,$103.87,$103.94,$101.83,465
07/14/2022,$103.22,6951305,$103.11,$103.80,$101.85,466
11/02/2023,$105.08,8135111,$102.05,$105.55,$101.89,467
01/05/2024,$102.08,8044543,$102.46,$103.68,$101.90,468
10/17/2023,$103.01,9253760,$101.97,$103.59,$101.97,469
06/05/2020,$102.71,8363601,$104.00,$104.69,$102.13,470
02/20/2024,$103.30,8759480,$103.13,$103.84,$102.17,471
01/04/2024,$102.30,10420580,$102.46,$103.62,$102.30,472
02/07/2024,$103.79,9447765,$102.39,$104.34,$102.35,473
01/10/2024,$103.77,6784662,$102.69,$103.83,$102.37,474
08/10/2020,$105.41,12677960,$102.47,$106.83,$102.40,475
06/09/2020,$102.63,5385911,$102.82,$103.77,$102.43,476
12/19/2022,$103.05,10620330,$104.99,$105.51,$102.45,477
06/28/2022,$102.78,31373800,$108.20,$114.05,$102.48,478
01/09/2024,$102.74,7759476,$103.17,$103.40,$102.50,479
10/20/2023,$102.67,7823499,$103.32,$103.77,$102.57,480
08/21/2023,$102.86,6697559,$105.47,$105.48,$102.63,481
06/08/2020,$104.29,6165363,$103.05,$104.30,$102.71,482
10/19/2023,$103.05,8391080,$103.77,$104.35,$102.85,483
06/01/2023,$103.63,12025210,$104.18,$104.60,$102.90,484
11/17/2022,$105.36,5259739,$104.11,$105.40,$102.92,485
10/18/2023,$103.77,8757335,$102.97,$103.90,$102.93,486
02/21/2024,$105.27,8893514,$103.35,$105.52,$102.93,487
02/08/2024,$103.77,6330409,$104.43,$104.96,$103.05,488
01/30/2024,$104.18,7542837,$103.34,$104.31,$103.13,489
07/12/2022,$103.76,6017439,$105.01,$105.86,$103.15,490
09/16/2022,$104.12,8000816,$104.07,$105.29,$103.25,491
02/09/2024,$104.50,5449022,$103.80,$104.94,$103.33,492
09/19/2022,$107.21,5162319,$103.69,$107.37,$103.33,493
08/12/2020,$105.22,4715042,$105.72,$105.89,$103.38,494
07/06/2022,$104.23,6432881,$104.89,$105.72,$103.45,495
05/25/2022,$108.20,7158807,$103.46,$108.89,$103.46,496
10/25/2023,$103.54,7054680,$104.46,$105.04,$103.49,497
11/21/2022,$103.83,4774775,$104.61,$105.48,$103.60,498
10/24/2023,$105.18,9252448,$103.66,$105.65,$103.66,499
07/06/2023,$105.10,9929226,$105.29,$106.09,$103.67,500
02/29/2024,$103.93,10811630,$104.98,$105.57,$103.68,501
09/06/2022,$105.15,9158948,$105.44,$106.41,$103.68,502
07/18/2022,$103.94,6834758,$106.19,$106.68,$103.68,503
02/28/2024,$104.35,4219844,$104.10,$105.44,$103.70,504
01/11/2024,$105.90,9537701,$104.22,$106.01,$103.73,505
08/18/2023,$104.81,5836067,$103.83,$105.05,$103.76,506
02/26/2024,$104.54,5831480,$105.31,$106.10,$103.76,507
09/01/2022,$106.49,5590811,$105.80,$106.55,$103.80,508
11/22/2022,$105.97,5313228,$104.62,$106.16,$103.84,509
07/15/2022,$104.70,7862046,$104.76,$105.62,$103.93,510
02/27/2024,$105.15,5317417,$104.83,$105.25,$103.99,511
01/03/2024,$104.04,10573740,$105.72,$107.48,$104.00,512
07/07/2023,$104.46,7463086,$104.80,$105.47,$104.03,513
02/22/2024,$105.08,6705491,$105.80,$106.01,$104.08,514
11/18/2022,$105.42,5498949,$107.63,$107.72,$104.17,515
11/13/2023,$104.20,7055631,$105.37,$105.72,$104.18,516
02/13/2024,$105.00,6180509,$104.99,$105.80,$104.25,517
07/10/2023,$105.78,5374580,$104.48,$106.31,$104.25,518
11/14/2022,$104.39,7134856,$105.20,$106.44,$104.32,519
06/23/2022,$108.00,8898376,$105.01,$108.10,$104.41,520
02/14/2024,$106.33,5743277,$104.82,$106.42,$104.46,521
07/26/2022,$105.20,8459456,$107.48,$107.93,$104.57,522
06/12/2023,$106.83,7965771,$106.29,$106.85,$104.60,523
06/22/2022,$104.92,9894584,$105.40,$106.90,$104.61,524
02/12/2024,$107.18,7501946,$104.74,$107.43,$104.65,525
11/28/2022,$104.96,6967774,$105.25,$106.30,$104.65,526
01/12/2024,$105.06,6680858,$106.00,$106.32,$104.72,527
05/24/2022,$107.29,6023398,$107.11,$107.99,$104.73,528
11/16/2022,$105.23,5998677,$105.25,$106.60,$104.77,529
08/17/2023,$105.05,5692762,$107.43,$107.83,$104.78,530
05/31/2023,$105.26,21465160,$105.70,$106.17,$104.83,531
09/15/2022,$105.50,6598908,$106.15,$108.14,$104.83,532
08/11/2020,$105.12,5400716,$106.85,$107.33,$104.86,533
07/11/2022,$105.11,4936666,$106.60,$107.09,$104.87,534
09/07/2022,$108.48,7238257,$105.08,$108.56,$105.00,535
05/12/2022,$107.90,10245380,$105.18,$109.88,$105.00,536
09/02/2022,$105.74,7763844,$107.46,$108.15,$105.05,537
05/20/2022,$108.00,7621926,$108.67,$109.69,$105.07,538
11/20/2023,$106.32,6198621,$106.00,$106.55,$105.10,539
08/17/2020,$105.66,3017135,$106.50,$106.50,$105.12,540
11/29/2022,$106.25,8494366,$105.37,$106.82,$105.12,541
12/16/2022,$105.95,14083650,$106.87,$107.61,$105.12,542
09/14/2022,$107.00,4888742,$106.13,$107.36,$105.15,543
06/05/2023,$105.20,7434017,$107.88,$107.56,$105.18,544
02/23/2024,$105.63,6947285,$105.26,$106.62,$105.19,545
06/06/2023,$106.19,7896257,$105.49,$106.75,$105.20,546
08/13/2020,$106.52,4281727,$105.30,$106.99,$105.20,547
11/23/2022,$106.65,3873501,$106.00,$106.98,$105.23,548
07/07/2022,$108.13,7633944,$105.65,$108.28,$105.27,549
06/09/2023,$105.86,5796002,$105.91,$106.28,$105.35,550
11/21/2023,$106.55,5803549,$106.17,$106.70,$105.35,551
11/14/2023,$105.75,9674819,$105.56,$107.10,$105.38,552
06/07/2023,$107.09,11123900,$106.04,$108.24,$105.42,553
07/19/2022,$109.19,8973853,$105.60,$109.58,$105.43,554
09/13/2022,$105.72,5955562,$108.84,$108.91,$105.44,555
11/30/2022,$109.69,16250970,$107.08,$109.69,$105.45,556
08/14/2020,$106.43,2985847,$106.12,$106.78,$105.46,557
08/18/2020,$106.97,5023006,$106.46,$107.00,$105.47,558
11/17/2023,$105.96,6353975,$108.06,$108.21,$105.52,559
11/15/2022,$106.71,7242932,$107.99,$109.31,$105.53,560
11/25/2022,$105.96,3426135,$106.45,$107.18,$105.56,561
08/15/2023,$106.55,6197554,$106.07,$106.82,$105.60,562
11/10/2023,$106.11,8897927,$107.34,$107.83,$105.61,563
07/11/2023,$107.39,5457205,$105.65,$107.62,$105.62,564
06/08/2023,$106.20,9139448,$107.16,$107.52,$105.67,565
06/16/2022,$107.12,7384840,$109.51,$109.90,$105.72,566
07/27/2022,$107.86,7437032,$106.30,$108.38,$105.75,567
08/31/2022,$106.45,8884766,$107.96,$108.01,$105.81,568
05/23/2022,$108.63,7136443,$107.47,$108.75,$105.82,569
02/15/2024,$106.05,7201273,$107.02,$107.34,$105.83,570
06/17/2022,$107.34,10256830,$106.15,$108.55,$105.85,571
11/03/2023,$107.06,7567959,$106.43,$107.65,$106.05,572
08/16/2023,$106.53,5953064,$106.07,$108.38,$106.07,573
09/08/2022,$108.73,5628273,$107.00,$108.79,$106.08,574
06/02/2023,$107.78,11838230,$107.63,$108.42,$106.13,575
05/30/2023,$106.52,9335188,$108.40,$108.88,$106.27,576
05/19/2022,$106.44,7701997,$108.95,$109.11,$106.28,577
06/13/2023,$106.78,8460508,$107.14,$107.48,$106.29,578
11/06/2023,$107.25,5231865,$106.96,$107.60,$106.37,579
08/29/2022,$107.88,4132362,$106.81,$108.54,$106.44,580
01/02/2024,$106.55,9326616,$107.61,$107.85,$106.45,581
07/08/2022,$107.93,5938841,$106.58,$108.61,$106.51,582
07/05/2023,$107.10,10410550,$108.62,$108.91,$106.54,583
08/03/2023,$108.64,5085760,$107.00,$109.09,$106.65,584
11/15/2023,$107.82,11140830,$106.82,$109.06,$106.72,585
12/06/2022,$107.93,7086282,$109.65,$110.53,$106.75,586
07/17/2023,$108.71,6683385,$107.26,$109.10,$106.76,587
12/28/2023,$108.82,9352902,$107.21,$109.40,$106.81,588
11/22/2023,$107.92,6280910,$107.50,$108.03,$106.82,589
12/27/2023,$107.13,10157850,$108.34,$108.59,$106.85,590
11/27/2023,$107.96,5785038,$107.66,$108.22,$106.90,591
11/09/2023,$107.00,9154218,$109.82,$109.90,$106.92,592
05/26/2023,$107.51,7911202,$107.00,$108.45,$107.00,593
11/16/2023,$107.61,5386979,$107.10,$108.00,$107.00,594
12/07/2022,$108.33,5751515,$107.32,$109.12,$107.06,595
08/14/2023,$107.64,5305181,$107.92,$108.30,$107.07,596
08/30/2022,$107.86,5129451,$108.97,$110.08,$107.13,597
07/14/2023,$107.95,6933557,$107.94,$108.64,$107.19,598
05/24/2023,$108.29,8503192,$109.00,$109.10,$107.20,599
07/12/2023,$107.76,8305044,$108.53,$109.09,$107.22,600
11/07/2023,$109.36,7745848,$107.32,$109.36,$107.23,601
06/23/2023,$109.52,14329240,$107.75,$110.29,$107.30,602
08/20/2020,$108.01,4304290,$107.56,$108.74,$107.35,603
08/19/2020,$108.39,9508077,$107.69,$109.69,$107.35,604
08/08/2023,$109.69,5851909,$109.63,$109.89,$107.35,605
07/25/2023,$108.30,7692755,$108.28,$108.85,$107.39,606
11/24/2023,$107.64,2443610,$107.50,$108.00,$107.40,607
07/27/2023,$107.67,6544605,$109.83,$110.23,$107.40,608
05/25/2023,$107.48,6729847,$108.35,$108.97,$107.42,609
08/02/2023,$107.51,6213581,$108.28,$108.52,$107.45,610
12/22/2023,$108.04,46666190,$108.26,$110.80,$107.45,611
12/26/2023,$108.02,12846720,$108.30,$108.69,$107.48,612
07/20/2023,$107.53,6458000,$109.57,$110.02,$107.48,613
06/14/2023,$112.86,17415460,$107.48,$113.40,$107.48,614
07/21/2023,$109.06,6631599,$108.00,$109.29,$107.51,615
05/11/2022,$107.92,6611800,$110.70,$111.15,$107.59,616
07/28/2023,$108.62,5993039,$108.11,$108.96,$107.63,617
07/13/2023,$107.84,6692257,$109.07,$109.13,$107.68,618
07/25/2022,$109.28,5079527,$109.61,$109.61,$107.68,619
12/15/2022,$108.51,7502121,$109.19,$109.62,$107.73,620
08/21/2020,$109.75,5563994,$108.00,$109.77,$107.75,621
08/11/2023,$108.09,5104405,$108.90,$109.53,$107.86,622
07/26/2023,$109.30,5148906,$108.30,$109.59,$107.95,623
07/28/2022,$112.23,6773540,$109.43,$112.40,$108.03,624
06/21/2022,$108.68,6211362,$108.46,$109.82,$108.04,625
12/29/2023,$108.57,7667522,$108.96,$109.96,$108.09,626
11/28/2023,$108.75,7287568,$108.57,$109.90,$108.15,627
05/23/2023,$108.78,11790410,$109.77,$111.06,$108.19,628
08/26/2022,$108.28,6203565,$113.31,$113.73,$108.23,629
08/04/2023,$108.81,5621400,$108.71,$110.31,$108.24,630
08/09/2023,$109.69,4328573,$109.79,$110.02,$108.30,631
07/18/2023,$109.72,5717868,$108.58,$110.34,$108.31,632
12/02/2022,$112.20,5891969,$108.65,$112.71,$108.34,633
05/10/2022,$109.49,7527166,$113.03,$113.44,$108.35,634
12/08/2022,$111.36,6192842,$108.60,$111.49,$108.46,635
07/24/2023,$108.77,6787619,$110.41,$110.55,$108.51,636
08/10/2023,$109.03,7276458,$110.31,$111.95,$108.52,637
07/19/2023,$109.88,5027105,$109.08,$110.25,$108.58,638
05/13/2022,$113.01,9618832,$110.26,$113.11,$108.67,639
06/21/2023,$109.98,8377812,$109.13,$110.36,$108.71,640
07/22/2022,$109.12,6039269,$111.93,$111.93,$108.75,641
05/18/2022,$109.37,8188301,$112.50,$113.36,$108.78,642
08/09/2022,$110.11,7377572,$111.32,$111.75,$108.82,643
07/20/2022,$111.11,5884576,$109.22,$111.63,$108.87,644
11/08/2023,$109.39,8639736,$109.37,$110.70,$108.90,645
06/20/2023,$109.54,10606880,$111.41,$112.82,$108.96,646
11/30/2023,$110.27,8690871,$110.53,$110.60,$108.96,647
07/31/2023,$110.39,6406734,$109.41,$110.85,$109.05,648
07/03/2023,$109.11,5734199,$111.06,$111.30,$109.11,649
08/01/2023,$109.40,4567383,$110.00,$110.53,$109.14,650
08/07/2023,$110.48,4887311,$109.87,$110.94,$109.18,651
12/05/2022,$109.62,6220139,$111.02,$111.13,$109.19,652
06/13/2022,$110.44,6423104,$110.39,$112.02,$109.24,653
12/09/2022,$109.42,5677695,$110.22,$111.38,$109.26,654
09/09/2022,$110.97,5174479,$109.38,$111.69,$109.30,655
12/01/2022,$111.11,7822888,$110.09,$111.86,$109.55,656
06/24/2022,$112.91,10463670,$109.93,$112.94,$109.61,657
06/26/2023,$111.74,6887058,$109.67,$112.21,$109.67,658
12/12/2022,$112.07,6426036,$110.10,$112.17,$109.71,659
12/01/2023,$113.48,8051815,$110.33,$113.55,$109.75,660
06/22/2023,$110.46,6003494,$110.82,$111.25,$109.78,661
06/30/2023,$110.37,19629590,$111.59,$112.25,$109.80,662
08/22/2022,$110.34,5802914,$111.02,$111.68,$109.84,663
06/27/2022,$110.50,12644670,$112.24,$113.21,$109.84,664
08/24/2020,$111.83,8173259,$110.00,$112.00,$109.90,665
05/26/2022,$112.94,6520341,$110.00,$113.50,$110.00,666
06/14/2022,$110.72,4548351,$110.37,$111.89,$110.01,667
08/24/2022,$111.41,4769010,$110.68,$112.43,$110.02,668
05/22/2023,$110.18,12710290,$112.85,$112.85,$110.02,669
07/21/2022,$111.62,4291350,$110.37,$111.67,$110.07,670
11/29/2023,$110.37,9601810,$110.80,$112.15,$110.15,671
06/15/2023,$112.41,10374200,$111.83,$112.82,$110.16,672
09/04/2020,$112.40,5157736,$112.96,$113.75,$110.21,673
12/14/2022,$111.45,7528469,$113.70,$114.12,$110.23,674
08/27/2020,$110.84,4391019,$111.99,$112.79,$110.50,675
09/08/2020,$112.72,5300108,$111.29,$113.84,$110.54,676
08/28/2020,$112.29,3731407,$111.01,$112.67,$110.57,677
08/23/2022,$110.68,4806708,$110.84,$112.83,$110.57,678
05/09/2022,$111.21,7505970,$112.97,$114.43,$110.59,679
05/06/2022,$114.49,11237530,$113.74,$115.90,$110.66,680
08/25/2020,$111.51,4380921,$112.00,$112.28,$111.09,681
08/31/2020,$111.89,3519833,$112.14,$112.52,$111.14,682
06/15/2022,$113.44,4828671,$112.16,$114.72,$111.21,683
12/13/2022,$112.85,8655306,$115.61,$116.45,$111.25,684
08/26/2020,$111.53,4477854,$111.92,$112.09,$111.29,685
09/12/2022,$112.38,4836939,$111.38,$113.36,$111.38,686
08/25/2022,$113.22,5433682,$111.90,$113.34,$111.39,687
07/29/2022,$114.92,7559983,$112.76,$115.21,$111.50,688
05/16/2022,$112.60,5722480,$112.98,$113.44,$111.56,689
